Match_ID,Date,Round,Team1,Team2,Team1_Fouls,Team2_Fouls,Extra_Time,Stage,Total_Fouls,Team1_Goals,Team2_Goals,Goal_Difference
90,04/07/2026,Round of 16,Paraguay,France,13.0,11.0,False,Knockout,24.0,0,1,-1
91,05/07/2026,Round of 16,Brazil,Norway,7.0,6.0,False,Knockout,13.0,1,2,-1
92,05/07/2026,Round of 16,Mexico,England,14.0,7.0,False,Knockout,21.0,2,3,-1
93,06/07/2026,Round of 16,Portugal,Spain,9.0,13.0,False,Knockout,22.0,0,1,-1
94,06/07/2026,Round of 16,USA,Belgium,11.0,9.0,False,Knockout,20.0,1,4,-3
95,07/07/2026,Round of 16,Argentina,Egypt,13.0,11.0,False,Knockout,24.0,3,2,1
96,07/07/2026,Round of 16,Switzerland,Colombia,22.0,21.0,True,Knockout,43.0,0,0,0
97,09/07/2026,Quarter Final,France,Morocco,10.0,13.0,False,Knockout,23.0,2,0,2
98,10/07/2026,Quarter Final,Spain,Belgium,13.0,18.0,False,Knockout,31.0,2,1,1
99,11/07/2026,Quarter Final,Norway,England,10.0,8.0,False,Knockout,18.0,1,2,-1
100,11/07/2026,Quarter Final,Argentina,Switzerland,14.0,18.0,False,Knockout,32.0,3,1,2
101,14/07/2026,Semi Final,France,Spain,11.0,12.0,False,Knockout,23.0,0,2,-2
102,15/07/2026,Semi Final,England,Argentina,11.0,15.0,False,Knockout,26.0,1,2,-1
103,18/07/2026,Bronze Final,France,England,,,False,Knockout,,4,6,-2
104,19/07/2026,Final,Spain,Argentina,21.0,25.0,True,Knockout,46.0,1,0,1
